Municipality,Type,County,Population (2020),Year Incorporated
Fort Fairfield,Town,Aroostook,"3,322",1858
Norridgewock,Town,Somerset,"3,278",1788
Holden,Town,Penobscot,"3,277",1852
Belgrade,Town,Kennebec,"3,250",1796
Limerick,Town,York,"3,188",1787
Bowdoin,Town,Sagadahoc,"3,136",1788
Newport,Town,Penobscot,"3,133",1814
Mechanic Falls,Town,Androscoggin,"3,107",1893
Calais,City,Washington,"3,079",1809
Alfred,Town,York (seat),"3,073",1794
Milford,Town,Penobscot,"3,069",1833
Woolwich,Town,Sagadahoc,"3,068",1775
Livermore Falls,Town,Androscoggin,"3,060",1844
Bowdoinham,Town,Sagadahoc,"3,047",1762
Boothbay,Town,Lincoln,"3,003",1764
Farmingdale,Town,Kennebec,"2,995",1852
Levant,Town,Penobscot,"2,940",1813
Shapleigh,Town,York,"2,921",1785
Corinth,Town,Penobscot,"2,900",1811
Pittston,Town,Kennebec,"2,875",1779
Carmel,Town,Penobscot,"2,867",1811
Bristol,Town,Lincoln,"2,834",1765
Blue Hill,Town,Hancock,"2,792",1789
Chelsea,Town,Kennebec,"2,778",1851
Mexico,Town,Oxford,"2,756",1818
Thomaston,Town,Knox,"2,739",1777
Benton,Town,Kennebec,"2,715",1842
Acton,Town,York,"2,671",1830
Searsport,Town,Waldo,"2,649",1845
Windsor,Town,Kennebec,"2,632",1809
Readfield,Town,Kennebec,"2,597",1791
St. George,Town,Knox,"2,594",1803
Hallowell,City,Kennebec,"2,570",1771
Jefferson,Town,Lincoln,"2,551",1807
Bethel,Town,Oxford,"2,504",1796
Hancock,Town,Hancock,"2,466",1828
Manchester,Town,Kennebec,"2,456",1850
Harrison,Town,Cumberland,"2,447",1805
Whitefield,Town,Lincoln,"2,408",1809
Union,Town,Knox,"2,383",1786
Lincolnville,Town,Waldo,"2,312",1802
Damariscotta,Town,Lincoln,"2,297",1848
Unity,Town,Waldo,"2,292",1804
Anson,Town,Somerset,"2,291",1798
Leeds,Town,Androscoggin,"2,262",1801
Dixfield,Town,Oxford,"2,253",1803
Minot,Town,Androscoggin,"2,251",1802
Milo,Town,Piscataquis,"2,251",1823
Orland,Town,Hancock,"2,221",1800
Corinna,Town,Penobscot,"2,221",1816
Eddington,Town,Penobscot,"2,194",1811
Deer Isle,Town,Hancock,"2,194",1789
Canaan,Town,Somerset,"2,193",1788
Phippsburg,Town,Sagadahoc,"2,155",1814
Mount Desert,Town,Hancock,"2,146",1789
Dayton,Town,York,"2,129",1854
Livermore,Town,Androscoggin,"2,127",1795
Machias,Town,Washington (seat),"2,060",1784
St. Albans,Town,Somerset,"2,045",1813
Van Buren,Town,Aroostook,"2,038",1881
Boothbay Harbor,Town,Lincoln,"2,027",1889
Albion,Town,Kennebec,"2,006",1804
Buckfield,Town,Oxford,"1,983",1793
Palmyra,Town,Somerset,"1,924",1807
Sebago,Town,Cumberland,"1,911",1826
West Bath,Town,Sagadahoc,"1,910",1844
Mapleton,Town,Aroostook,"1,886",1880
Otisfield,Town,Oxford,"1,853",1798
Newcastle,Town,Lincoln,"1,848",1775
Veazie,Town,Penobscot,"1,814",1853
Parsonsfield,Town,York,"1,791",1785
Nobleboro,Town,Lincoln,"1,791",1788
West Paris,Town,Oxford,"1,766",1957
Southwest Harbor,Town,Hancock,"1,756",1905
Randolph,Town,Kennebec,"1,743",1887
Dresden,Town,Lincoln,"1,725",1794
Mount Vernon,Town,Kennebec,"1,721",1792
Lamoine,Town,Hancock,"1,720",1870
Hartland,Town,Somerset,"1,705",1820
Gouldsboro,Town,Hancock,"1,703",1789
Hope,Town,Knox,"1,698",1804
Newfield,Town,York,"1,648",1794
Dedham,Town,Hancock,"1,648",1837
Brownfield,Town,Oxford,"1,631",1802
Surry,Town,Hancock,"1,623",1803
Hiram,Town,Oxford,"1,609",1814
